JUDUL,KATEGORI,tokens,stemmed
sri mulyani bawa kabar buruk soal kondisi global apbn harus kerja keras,Ekonomi,"['sri', 'mulyani', 'bawa', 'kabar', 'buruk', 'kondisi', 'global', 'apbn', 'kerja', 'keras']",sri mulyani bawa kabar buruk kondisi global apbn kerja keras
perdana negara ini bakal kenakan tarif pajak karbon pada sektor pertanian,Ekonomi,"['perdana', 'negara', 'kenakan', 'tarif', 'pajak', 'karbon', 'sektor', 'pertanian']",perdana negara kena tarif pajak karbon sektor tani
lotre laku keras di china di tengah ekonomi yang masih goyah,Ekonomi,"['lotre', 'laku', 'keras', 'china', 'ekonomi', 'goyah']",lotre laku keras china ekonomi goyah
duh bos ojk perkirakan ekonomi  masih tak pasti seperti tahun ini,Ekonomi,"['duh', 'bos', 'ojk', 'perkirakan', 'ekonomi']",duh bos ojk kira ekonomi
apakah yang dimaksud dengan konsumen berikut peran hak dan kewajibannya,Ekonomi,"['konsumen', 'peran', 'hak', 'kewajibannya']",konsumen peran hak wajib
kilang pertamina kembangkan green refineries bidik investor strategis,Ekonomi,"['kilang', 'pertamina', 'kembangkan', 'green', 'refineries', 'bidik', 'investor', 'strategis']",kilang pertamina kembang green refineries bidik investor strategis
menguak kondisi ekonomi jakarta yang kini berusia  tahun,Ekonomi,"['menguak', 'kondisi', 'ekonomi', 'jakarta', 'berusia']",uak kondisi ekonomi jakarta usia
janji prabowo bawa ekonomi ri naik  bisa gagal jika industri tak ngegas,Ekonomi,"['janji', 'prabowo', 'bawa', 'ekonomi', 'ri', 'gagal', 'industri', 'ngegas']",janji prabowo bawa ekonomi ri gagal industri ngegas
ekonom bandara kualanamu dorong geliat ekonomi di sumut,Ekonomi,"['ekonom', 'bandara', 'kualanamu', 'dorong', 'geliat', 'ekonomi', 'sumut']",ekonom bandara kualanamu dorong geliat ekonomi sumut
disebut sarang penadah mobil bodong begini kondisi ekonomi pati,Ekonomi,"['sarang', 'penadah', 'mobil', 'bodong', 'kondisi', 'ekonomi', 'pati']",sarang tadah mobil bodong kondisi ekonomi pati
di depan jokowi gubernur bi sebut kondisi dunia masih bergejolak,Ekonomi,"['jokowi', 'gubernur', 'bi', 'kondisi', 'dunia', 'bergejolak']",jokowi gubernur bi kondisi dunia gejolak
top brand lokal ini bisa bersaing di pasar global,Ekonomi,"['top', 'brand', 'lokal', 'bersaing', 'pasar', 'global']",top brand lokal saing pasar global
kalla group mau bangun lagi plta siapkan duit rp  triliun,Ekonomi,"['kalla', 'group', 'bangun', 'plta', 'siapkan', 'duit', 'rp', 'triliun']",kalla group bangun plta siap duit rp triliun
ini alasan gen z lebih sulit punya rumah dibanding milenial apa kata pakar,Ekonomi,"['alasan', 'gen', 'z', 'sulit', 'rumah', 'dibanding', 'milenial', 'pakar']",alas gen z sulit rumah banding milenial pakar
angka kelahiran di jepang capai titik paling kritis,Ekonomi,"['angka', 'kelahiran', 'jepang', 'capai', 'titik', 'kritis']",angka lahir jepang capai titik kritis
yuk cari tahu rumus indeks harga dan cara hitung,Ekonomi,"['yuk', 'cari', 'rumus', 'indeks', 'harga', 'hitung']",yuk cari rumus indeks harga hitung
pln bakal tambah kapasitas pembangkit  berasal dari ebt hingga ,Ekonomi,"['pln', 'kapasitas', 'pembangkit', 'berasal', 'ebt']",pln kapasitas bangkit asal ebt
bos pln ungkap tantangan geber ebt di ri,Ekonomi,"['bos', 'pln', 'tantangan', 'geber', 'ebt', 'ri']",bos pln tantang geber ebt ri
pemerintah didorong bentuk lembaga khusus pengelola dana iklim daerah,Ekonomi,"['pemerintah', 'didorong', 'bentuk', 'lembaga', 'khusus', 'pengelola', 'dana', 'iklim', 'daerah']",perintah dorong bentuk lembaga khusus kelola dana iklim daerah
sederet tantangan ri menuju transisi energi ramah lingkungan,Ekonomi,"['sederet', 'tantangan', 'ri', 'transisi', 'energi', 'ramah', 'lingkungan']",deret tantang ri transisi energi ramah lingkung
sig bakal pasok semen hijau untuk proyek ikn,Ekonomi,"['sig', 'pasok', 'semen', 'hijau', 'proyek', 'ikn']",sig pasok semen hijau proyek ikn
sri mulyani kenalkan mas tommy djiwandono kalau pak terlalu tua,Ekonomi,"['sri', 'mulyani', 'kenalkan', 'mas', 'tommy', 'djiwandono', 'tua']",sri mulyani kenal mas tommy djiwandono tua
surya paloh ekonomi kuat harus didukung stabilitas politik,Ekonomi,"['surya', 'paloh', 'ekonomi', 'kuat', 'didukung', 'stabilitas', 'politik']",surya paloh ekonomi kuat dukung stabilitas politik
pengertian pasar modal fungsi manfaat jenis dan contohnya,Ekonomi,"['pengertian', 'pasar', 'modal', 'fungsi', 'manfaat', 'jenis', 'contohnya']",erti pasar modal fungsi manfaat jenis contoh
oecd bakal bantu ri tarik investasi kelas dunia begini caranya,Ekonomi,"['oecd', 'bantu', 'ri', 'tarik', 'investasi', 'kelas', 'dunia']",oecd bantu ri tarik investasi kelas dunia
ekonom buka suara soal ri tumbuh  hingga program makan bergizi prabowo,Ekonomi,"['ekonom', 'buka', 'suara', 'ri', 'tumbuh', 'program', 'makan', 'bergizi', 'prabowo']",ekonom buka suara ri tumbuh program makan gizi prabowo
dunia gonjangganjing sri mulyani senang ekonomi ri tumbuh ,Ekonomi,"['dunia', 'gonjangganjing', 'sri', 'mulyani', 'senang', 'ekonomi', 'ri', 'tumbuh']",dunia gonjangganjing sri mulyani senang ekonomi ri tumbuh
australia bangun pusat hidrogen terbesar buat bbm daur ulang air listrik bersih,Ekonomi,"['australia', 'bangun', 'pusat', 'hidrogen', 'terbesar', 'bbm', 'daur', 'ulang', 'air', 'listrik', 'bersih']",australia bangun pusat hidrogen besar bbm daur ulang air listrik bersih
airlangga beberkan capaian perekonomian ri di nikkei forum ,Ekonomi,"['airlangga', 'beberkan', 'capaian', 'perekonomian', 'ri', 'nikkei', 'forum']",airlangga kan capai ekonomi ri nikkei forum
bi ungkap kondisi ekonomi ri di tengah ketidakpastian global,Ekonomi,"['bi', 'kondisi', 'ekonomi', 'ri', 'ketidakpastian', 'global']",bi kondisi ekonomi ri ketidakpastian global
kkp bakal tambah  budi daya rumput laut ramah lingkungan  ha ini lokasinya,Ekonomi,"['kkp', 'budi', 'daya', 'rumput', 'laut', 'ramah', 'lingkungan', 'ha', 'lokasinya']",kkp budi daya rumput laut ramah lingkung ha lokasi
australia blakblakan hambatan kembangkan energi terbarukan,Ekonomi,"['australia', 'blakblakan', 'hambatan', 'kembangkan', 'energi', 'terbarukan']",australia blakblakan hambat kembang energi baru
raksasa uni emirat arab mau bangun kebun angin  matahari di ikn,Ekonomi,"['raksasa', 'uni', 'emirat', 'arab', 'bangun', 'kebun', 'angin', 'matahari', 'ikn']",raksasa uni emirat arab bangun kebun angin matahari ikn
kilang pertamina sulap air dan sinar matahari jadi listrik untuk desa di sumsel,Ekonomi,"['kilang', 'pertamina', 'sulap', 'air', 'sinar', 'matahari', 'listrik', 'desa', 'sumsel']",kilang pertamina sulap air sinar matahari listrik desa sumsel
profil plts cirata yang dipamerkan jokowi hasil duet riuea rp  t,Ekonomi,"['profil', 'plts', 'cirata', 'dipamerkan', 'jokowi', 'hasil', 'duet', 'riuea', 'rp', 't']",profil plts cirata pamer jokowi hasil duet riuea rp t
ini dia plts ke terbesar dunia yang dipamerkan jokowi,Ekonomi,"['plts', 'terbesar', 'dunia', 'dipamerkan', 'jokowi']",plts besar dunia pamer jokowi
apa itu konsolidasi dalam bisnis ini penjelasannya,Ekonomi,"['konsolidasi', 'bisnis', 'penjelasannya']",konsolidasi bisnis jelas
kawasan industri di jabar sepi pemerintah upayakan dorong investasi,Ekonomi,"['kawasan', 'industri', 'jabar', 'sepi', 'pemerintah', 'upayakan', 'dorong', 'investasi']",kawasan industri jabar sepi perintah upaya dorong investasi
di depan anak buah sri mulyani bicara soal perubahan,Ekonomi,"['anak', 'buah', 'sri', 'mulyani', 'bicara', 'perubahan']",anak buah sri mulyani bicara ubah
mengenal  jenis koperasi beserta contohnya apa saja,Ekonomi,"['mengenal', 'jenis', 'koperasi', 'beserta', 'contohnya']",kenal jenis koperasi serta contoh
klhk pamer upaya bangun ekonomi berbasis hutan di forum unff,Ekonomi,"['klhk', 'pamer', 'upaya', 'bangun', 'ekonomi', 'berbasis', 'hutan', 'forum', 'unff']",klhk pamer upaya bangun ekonomi bas hutan forum unff
bidik potensi pasarekonomi cirebon,Ekonomi,"['bidik', 'potensi', 'pasarekonomi', 'cirebon']",bidik potensi pasarekonomi cirebon
ekonomi jabar triwulan i tumbuh  pengangguran turun  ribu,Ekonomi,"['ekonomi', 'jabar', 'triwulan', 'i', 'tumbuh', 'pengangguran', 'turun', 'ribu']",ekonomi jabar triwulan i tumbuh anggur turun ribu
bertemu wakil kanselir jerman airlangga pamer ekonomi ri tumbuh solid,Ekonomi,"['bertemu', 'wakil', 'kanselir', 'jerman', 'airlangga', 'pamer', 'ekonomi', 'ri', 'tumbuh', 'solid']",temu wakil kanselir jerman airlangga pamer ekonomi ri tumbuh solid
jokowi puji pertumbuhan ekonomi sulbar tertinggi kelima nasional,Ekonomi,"['jokowi', 'puji', 'pertumbuhan', 'ekonomi', 'sulbar', 'tertinggi', 'nasional']",jokowi puji tumbuh ekonomi sulbar tinggi nasional
sri mulyani beberkan buktibukti ekonomi indonesia kuat,Ekonomi,"['sri', 'mulyani', 'beberkan', 'buktibukti', 'ekonomi', 'indonesia', 'kuat']",sri mulyani kan buktibukti ekonomi indonesia kuat
doa kemudahan rezeki untuk keluar dari kesulitan ekonomi,Ekonomi,"['doa', 'kemudahan', 'rezeki', 'kesulitan', 'ekonomi']",doa mudah rezeki sulit ekonomi
bunga tunggal pengertian rumus dan contoh soalnya,Ekonomi,"['bunga', 'tunggal', 'pengertian', 'rumus', 'contoh']",bunga tunggal erti rumus contoh
ekonomi dunia makin seram erick sebut ada ancaman perang tarif,Ekonomi,"['ekonomi', 'dunia', 'seram', 'erick', 'ancaman', 'perang', 'tarif']",ekonomi dunia seram erick ancam perang tarif
perdagangan internasional pengertian manfaat dan faktor pendorong,Ekonomi,"['perdagangan', 'internasional', 'pengertian', 'manfaat', 'faktor', 'pendorong']",dagang internasional erti manfaat faktor dorong
ketahui pengertian firma ciriciri jenisjenis dan syarat pendiriannya,Ekonomi,"['ketahui', 'pengertian', 'firma', 'ciriciri', 'jenisjenis', 'syarat', 'pendiriannya']",tahu erti firma ciriciri jenisjenis syarat diri
bi catat geliat usaha ri makin kuat sektor ini jadi andalan,Ekonomi,"['bi', 'catat', 'geliat', 'usaha', 'ri', 'kuat', 'sektor', 'andalan']",bi catat geliat usaha ri kuat sektor andal
ketua dprd bogor transportasi publik baik roda ekonomi cepat berputar,Ekonomi,"['ketua', 'dprd', 'bogor', 'transportasi', 'publik', 'roda', 'ekonomi', 'cepat', 'berputar']",ketua dprd bogor transportasi publik roda ekonomi cepat putar
 tugas ojk dan  wewenang serta manfaatnya untuk masyarakat,Ekonomi,"['tugas', 'ojk', 'wewenang', 'manfaatnya', 'masyarakat']",tugas ojk wewenang manfaat masyarakat
pengusaha batam waspadai gejolak ekonomi dampak perang iranisrael,Ekonomi,"['pengusaha', 'batam', 'waspadai', 'gejolak', 'ekonomi', 'dampak', 'perang', 'iranisrael']",usaha batam waspada gejolak ekonomi dampak perang iranisrael
temui tony blair airlangga bahas inklusivitas keuanganisu geopolitik,Ekonomi,"['temui', 'tony', 'blair', 'airlangga', 'bahas', 'inklusivitas', 'keuanganisu', 'geopolitik']",temu tony blair airlangga bahas inklusivitas keuanganisu geopolitik
apa itu ekuitas ini pengertian jenis unsur dan contohnya,Ekonomi,"['ekuitas', 'pengertian', 'jenis', 'unsur', 'contohnya']",ekuitas erti jenis unsur contoh
di forum asia airlangga yakin ekonomi tumbuh di atas   inflasi terkendali,Ekonomi,"['forum', 'asia', 'airlangga', 'ekonomi', 'tumbuh', 'inflasi', 'terkendali']",forum asia airlangga ekonomi tumbuh inflasi kendali
studi tunjukkan dampak kemiskinan pada perkembangan otak,Ekonomi,"['studi', 'tunjukkan', 'dampak', 'kemiskinan', 'perkembangan', 'otak']",studi tunjuk dampak miskin kembang otak
bunga majemuk pengertian rumus dan contoh soal,Ekonomi,"['bunga', 'majemuk', 'pengertian', 'rumus', 'contoh']",bunga majemuk erti rumus contoh
ketua banggar minta pemerintah waspada dampak perang israeliran,Ekonomi,"['ketua', 'banggar', 'pemerintah', 'waspada', 'dampak', 'perang', 'israeliran']",ketua banggar perintah waspada dampak perang israeliran
konflik iran vs israel bisa bikin ekonomi ri melambat,Ekonomi,"['konflik', 'iran', 'vs', 'israel', 'bikin', 'ekonomi', 'ri', 'melambat']",konflik iran vs israel bikin ekonomi ri lambat
rupiah keok lawan dolar as ini dampak ngerinya buat ekonomi ri,Ekonomi,"['rupiah', 'keok', 'lawan', 'dolar', 'as', 'dampak', 'ngerinya', 'ekonomi', 'ri']",rupiah keok lawan dolar as dampak ngeri ekonomi ri
menanti restu fifa laga laliga dan seri a digelar di luar eropa,Olahraga,"['restu', 'fifa', 'laga', 'laliga', 'seri', 'a', 'digelar', 'eropa']",restu fifa laga laliga seri a gelar eropa
benarkah korset bisa membentuk tubuh ramping secara permanen,Olahraga,"['korset', 'membentuk', 'tubuh', 'ramping', 'permanen']",korset bentuk tubuh ramping permanen
angkat beban bikin cewek kekarberotot lifter cantik cindercella ungkap faktanya,Olahraga,"['angkat', 'beban', 'bikin', 'cewek', 'kekarberotot', 'lifter', 'cantik', 'cindercella', 'faktanya']",angkat beban bikin cewek kekarberotot lifter cantik cindercella fakta
pakar harvard ungkap waktu terbaik jalan kaki harus berapa menit sehari,Olahraga,"['pakar', 'harvard', 'terbaik', 'jalan', 'kaki', 'menit', 'sehari']",pakar harvard baik jalan kaki menit hari
lepas kontingen pornas xvii korpri menaker tekankan kejujuransportivitas,Olahraga,"['lepas', 'kontingen', 'pornas', 'xvii', 'korpri', 'menaker', 'tekankan', 'kejujuransportivitas']",lepas kontingen pornas xvii korpri menaker tekan kejujuransportivitas
 asn sumsel bakal tanding di pornas perebutkan  medali,Olahraga,"['asn', 'sumsel', 'tanding', 'pornas', 'perebutkan', 'medali']",asn sumsel tanding pornas rebut medali
 gaya ayu ting ting jadi instruktur yoga pamer perut rata pakai sport bra,Olahraga,"['gaya', 'ayu', 'ting', 'ting', 'instruktur', 'yoga', 'pamer', 'perut', 'pakai', 'sport', 'bra']",gaya ayu ting ting instruktur yoga pamer perut pakai sport bra
potret nenek  tahun masih aktif ngegym gen z jangan mau kalah,Olahraga,"['potret', 'nenek', 'aktif', 'ngegym', 'gen', 'z', 'kalah']",potret nenek aktif ngegym gen z kalah
enjoy life yuki kato coba banyak olahraga surfing sampai maraton,Olahraga,"['enjoy', 'life', 'yuki', 'kato', 'coba', 'olahraga', 'surfing', 'maraton']",enjoy life yuk kato coba olahraga surfing maraton
 gaya hijab artis saat main padel paula verhoeven hingga aurel hermansyah,Olahraga,"['gaya', 'hijab', 'artis', 'main', 'padel', 'paula', 'verhoeven', 'aurel', 'hermansyah']",gaya hijab artis main padel paula verhoeven aurel hermansyah
nggak mainmain wanita ini sukses lakukan  ribu pullup dalam  jam,Olahraga,"['nggak', 'mainmain', 'wanita', 'sukses', 'lakukan', 'ribu', 'pullup', 'jam']",nggak mainmain wanita sukses laku ribu pullup jam
 personel polda sumsel siaga amankan pornas xvii korpri di palembang,Olahraga,"['personel', 'polda', 'sumsel', 'siaga', 'amankan', 'pornas', 'xvii', 'korpri', 'palembang']",personel polda sumsel siaga aman pornas xvii korpri palembang
benarkah minum air es setelah olahraga picu serangan jantung ini faktanya,Olahraga,"['minum', 'air', 'es', 'olahraga', 'picu', 'serangan', 'jantung', 'faktanya']",minum air es olahraga picu serang jantung fakta
wakili jawa tengah  asn kota semarang ikuti pornas xvii korpri ,Olahraga,"['wakili', 'jawa', 'asn', 'kota', 'semarang', 'ikuti', 'pornas', 'xvii', 'korpri']",wakil jawa asn kota semarang ikut pornas xvii korpri
cdm sea games  cabor yang dikirim wajib dapat medali,Olahraga,"['cdm', 'sea', 'games', 'cabor', 'dikirim', 'wajib', 'medali']",cdm sea games cabor kirim wajib medali
tekanan darah ideal berdasarkan usia dan cara menjaganya tetap sehat,Olahraga,"['tekanan', 'darah', 'ideal', 'berdasarkan', 'usia', 'menjaganya', 'sehat']",tekan darah ideal dasar usia jaga sehat
kapan timnas indonesia tanding di round  kualifikasi piala dunia ,Olahraga,"['timnas', 'indonesia', 'tanding', 'round', 'kualifikasi', 'piala', 'dunia']",timnas indonesia tanding round kualifikasi piala dunia
di depan erick thohir verrell bramasta wantiwanti kemenpora soal ini,Olahraga,"['erick', 'thohir', 'verrell', 'bramasta', 'wantiwanti', 'kemenpora']",erick thohir verrell bramasta wantiwanti kemenpora
rapat perdana komisi x dpr minta erick thohir bikin terobosan bidang olahraga,Olahraga,"['rapat', 'perdana', 'komisi', 'x', 'dpr', 'erick', 'thohir', 'bikin', 'terobosan', 'bidang', 'olahraga']",rapat perdana komisi x dpr erick thohir bikin terobos bidang olahraga
gubernur sumsel dorong sekayu jadi pusat olahraga dan umkm sumsel,Olahraga,"['gubernur', 'sumsel', 'dorong', 'sekayu', 'pusat', 'olahraga', 'umkm', 'sumsel']",gubernur sumsel dorong kayu pusat olahraga umkm sumsel
cristiano ronaldo jadi duta pariwisata arab saudi,Olahraga,"['cristiano', 'ronaldo', 'duta', 'pariwisata', 'arab', 'saudi']",cristiano ronaldo duta pariwisata arab saudi
ternyata olahraga ini bisa cegah demensiaalzheimer bikin otak awet muda,Olahraga,"['olahraga', 'cegah', 'demensiaalzheimer', 'bikin', 'otak', 'awet', 'muda']",olahraga cegah demensiaalzheimer bikin otak awet muda
minum air es setelah olahraga picu serangan jantung mitos atau fakta,Olahraga,"['minum', 'air', 'es', 'olahraga', 'picu', 'serangan', 'jantung', 'mitos', 'fakta']",minum air es olahraga picu serang jantung mitos fakta
eks kolam renang thr bakal dijadikan lapangan padel dan mini soccer,Olahraga,"['eks', 'kolam', 'renang', 'thr', 'dijadikan', 'lapangan', 'padel', 'mini', 'soccer']",eks kolam renang thr jadi lapang padel mini soccer
apa kabar ester nurumi tri wardoyo,Olahraga,"['kabar', 'ester', 'nurumi', 'tri', 'wardoyo']",kabar ester nurumi tri wardoyo
kim kardashian ungkap rahasia olahraga yang bikin tubuhnya seksi di usia ,Olahraga,"['kim', 'kardashian', 'rahasia', 'olahraga', 'bikin', 'tubuhnya', 'seksi', 'usia']",kim kardashian rahasia olahraga bikin tubuh seksi usia
wanita idap diabetes tipe  di usia  dinyatakan remisi karena kebiasaan ini,Olahraga,"['wanita', 'idap', 'diabetes', 'tipe', 'usia', 'dinyatakan', 'remisi', 'kebiasaan']",wanita idap diabetes tipe usia nyata remisi biasa
 kebiasaan yang bikin mental sehat sudah kamu lakukan,Olahraga,"['kebiasaan', 'bikin', 'mental', 'sehat', 'lakukan']",biasa bikin mental sehat laku
turunkan gula darah dengan  langkah mudah tanpa obat,Olahraga,"['turunkan', 'gula', 'darah', 'langkah', 'mudah', 'obat']",turun gula darah langkah mudah obat
video olahraga versi joe taslim buat jaga tubuh,Olahraga,"['video', 'olahraga', 'versi', 'joe', 'taslim', 'jaga', 'tubuh']",video olahraga versi joe taslim jaga tubuh
usain bolt curhat kebugaran mulai menurun kehabisan napas saat naik tangga,Olahraga,"['usain', 'bolt', 'curhat', 'kebugaran', 'menurun', 'kehabisan', 'napas', 'tangga']",usain bolt curhat bugar turun habis napas tangga
ayo serbu promo eksklusif tiket benteng run color run festival ,Olahraga,"['ayo', 'serbu', 'promo', 'eksklusif', 'tiket', 'benteng', 'run', 'color', 'run', 'festival']",ayo serbu promo eksklusif tiket benteng run color run festival
umur an sudah takut keriput ini resep anti aging alami dari pakar,Olahraga,"['umur', 'an', 'takut', 'keriput', 'resep', 'anti', 'aging', 'alami', 'pakar']",umur an takut keriput resep anti aging alami pakar
rekomendasi playlist lari bikin mood auto naik,Olahraga,"['rekomendasi', 'playlist', 'lari', 'bikin', 'mood', 'auto']",rekomendasi playlist lari bikin mood auto
profil menpora baru erick thohir lulusan kampus as hingga ketum pssi,Olahraga,"['profil', 'menpora', 'erick', 'thohir', 'lulusan', 'kampus', 'as', 'ketum', 'pssi']",profil menpora erick thohir lulus kampus as tum pssi
gaya shandy aulia pilates pakai rok lace menerawang seharga rp  juta,Olahraga,"['gaya', 'shandy', 'aulia', 'pilates', 'pakai', 'rok', 'lace', 'menerawang', 'seharga', 'rp', 'juta']",gaya shandy aulia pilates pakai rok lace terawang harga rp juta
spanyol desak boikot israel dari seluruh kompetisi olah raga,Olahraga,"['spanyol', 'desak', 'boikot', 'israel', 'kompetisi', 'olah', 'raga']",spanyol desak boikot israel kompetisi olah raga
pria ini berlari  km selama  hari perubahan tubuhnya mengejutkan,Olahraga,"['pria', 'berlari', 'km', 'perubahan', 'tubuhnya', 'mengejutkan']",pria lari km ubah tubuh kejut
pemerintah diminta punya visi atasi isu kepemudaan  majukan olahraga,Olahraga,"['pemerintah', 'visi', 'atasi', 'isu', 'kepemudaan', 'majukan', 'olahraga']",perintah visi atas isu pemuda maju olahraga
